MMS Id,Linked to NZ,Title,ISBN,ISSN,Linked to CZ
990000076740205516,No,"Livres hebdo l'hebdomadaire des livres, édition/librairie/bibliothèque",,0294-0000,No
990000624650205516,No,Cahier / Alliance Culturelle Romande,,,No
990000816850205516,No,,,,No
990000937220205516,No,: carte in parte col.,,,No
990000937230205516,No,: carte in parte col.,,,No
990001270340205516,No,,,,No
990001353040205516,No,,0854980326; 9780854980321,,No
990001475420205516,No,,0306335026; 9780306335020,,No
990001650940205516,No,,,,No
990001687980205516,No,,,,No
990001689080205516,No,,,,No
990001753270205516,No,,,,No
990001876030205516,No,,3764308613; 9783764308612,,No
990001878950205516,No,,9264215956; 9789264215955,,No
990001924940205516,No,,,,No
990001967100205516,No,,2850320099; 9782850320095,,No
990002062930205516,No,,,,No
990002368400205516,No,,3486257218; 9783486257212,,No
990002374340205516,No,,0855012188; 9780855012182,,No
990002662220205516,No,,,,No
990002738150205516,No,,0471017574; 9780471017578,,No
990002761300205516,No,Leçons de connaissance des matériaux métalliques,,,No
990002928000205516,No,: Plates,,,No
990003084680205516,No,,,,No
990003176780205516,No,,,,No
990003184720205516,No,-,0306416832; 9780306416835,,No
990003221540205516,No,,,,No
990003221550205516,No,,,,No
990003233840205516,No,,,,No
990003264670205516,No,,0824050665; 9780824050665,,No
990003482800205516,No,,,,No
990003482810205516,No,,,,No
990003488150205516,No,,0883853027; 9780883853023,,No
990003488160205516,No,,0883853132; 9780883853139,,No
990003576770205516,No,,,,No
990003655380205516,No,,3437110349; 9783437110344,,No
990003655890205516,No,,0127745602; 9780127745602,,No
990003739100205516,No,: contrib.: Brian D.O.Anderson a.o.,,,No
990003739110205516,No,: contrib.: Bernhard Asselmeyer a.o.,,,No
990003749550205516,No,,,,No
990003831540205516,No,,,,No
990003831550205516,No,,,,No
990003854990205516,No,,0849330491; 9780849330490,,No
990003928830205516,No,,082181902X; 9780821819029,,No
990003982560205516,No,,3437111388; 9783437111389,,No
990004048070205516,No,: Kupfertaf.,,,No
990004048080205516,No,: Kupfertaf.,,,No
990004048090205516,No,: Kupfertaf.,,,No
990004065120205516,No,,,,No
990004099670205516,No,,,,No
990004099680205516,No,,,,No
990004162170205516,No,,,,No
990004162340205516,No,,,,No
990004162810205516,No,,,,No
990004163370205516,No,,0120250012; 9780120250011,,No
990004165170205516,No,,012517960X; 9780125179607,,No
990004165550205516,No,,,,No
990004165920205516,No,,,,No
990004171820205516,No,,,,No
990004173120205516,No,,0824763157; 9780824763152,,No
990004175620205516,No,,0824763149; 9780824763145,,No
990004182580205516,No,,0120250020; 9780120250028,,No
990004187680205516,No,,,,No
990004189760205516,No,,,,No
990004189780205516,No,,,,No
990004189800205516,No,,,,No
990004189980205516,No,,0120029065; 9780120029068,,No
990004194870205516,No,,,,No
990004201080205516,No,,0471017388; 9780471017387,,No
990004210860205516,No,,,,No
990004216250205516,No,,,,No
990004225750205516,No,,,,No
990004227320205516,No,,,,No
990004238680205516,No,,082476580X; 9780824765804,,No
990004248520205516,No,,,,No
990004248540205516,No,,,,No
990004248560205516,No,,,,No
990004248800205516,No,,,,No
990004248820205516,No,,,,No
990004249290205516,No,,0120250039; 9780120250035,,No
990004250610205516,No,,,,No
990004251400205516,No,,,,No
990004252290205516,No,,,,No
990004254530205516,No,,,,No
990004256510205516,No,,,,No
990004268710205516,No,,,,No
990004268730205516,No,,,,No
990004269400205516,No,,,,No
990004273630205516,No,,,,No
990004274250205516,No,,,,No
990004277490205516,No,,0125179634; 9780125179638,,No
990004291020205516,No,,0471028738; 9780471028734,,No
990004302240205516,No,,,,No
990004303630205516,No,,,,No
990004307610205516,No,,,,No
990004308860205516,No,,,,No
990004312320205516,No,,,,No
990004317450205516,No,,0853348588; 9780853348580,,No
990004328590205516,No,,0915692295; 9780915692293,,No
990004333290205516,No,,0125359012; 9780125359016,,No
990004333430205516,No,,0444418199; 9780444418197,,No
990004333860205516,No,,,,No
990004334200205516,No,,,,No
990004345760205516,No,,,,No
990004348450205516,No,,,,No
990004349310205516,No,,,,No
990004349440205516,No,,,,No
