MMS Id,Title,Num of Items (In Repository),Num of Loans (Not In House),Last Loan Date (calendar)
990000945010205516,Differential geometry of curves and surfaces,"1,0","1,0",2018-03-05
990000945010205516,Differential geometry of curves and surfaces,"1,0","54,0",2018-04-18
990000945010205516,Differential geometry of curves and surfaces,"1,0","41,0",2020-09-24
990000945010205516,Differential geometry of curves and surfaces,"0,0","32,0",2021-03-04
990000945010205516,Differential geometry of curves and surfaces,"1,0","20,0",2021-09-22
990001122290205516,Solid state physics,"1,0","47,0",2019-10-09
990001122290205516,Solid state physics,"1,0","85,0",2021-04-07
990001122290205516,Solid state physics,"0,0","18,0",2021-06-18
990001122290205516,Solid state physics,"0,0","8,0",2021-08-02
990001122290205516,Solid state physics,"1,0","28,0",2021-09-17
990001122290205516,Solid state physics,"1,0","7,0",2021-09-27
990001122290205516,Solid state physics,"1,0","24,0",2021-10-02
990001122290205516,Solid state physics,"1,0","5,0",2021-10-18
990001122290205516,Solid state physics,"1,0","15,0",2021-12-23
990001122290205516,Solid state physics,"1,0","90,0",2022-01-14
990001122290205516,Solid state physics,"1,0","30,0",2022-02-18
990001122290205516,Solid state physics,"1,0","70,0",2022-02-22
990001122290205516,Solid state physics,"1,0","117,0",2022-02-26
990001122290205516,Solid state physics,"1,0","11,0",2022-03-09
990001163150205516,Mécanique quantique,"0,0","23,0",2005-07-13
990001215750205516,A course in mathematical logic,"1,0","0,0",
990001215750205516,A course in mathematical logic,"1,0","3,0",2015-01-19
990001215750205516,A course in mathematical logic,"1,0","7,0",2017-06-13
990001346650205516,Sampling techniques,"1,0","0,0",
990001346650205516,Sampling techniques,"1,0","43,0",2021-06-03
990001527130205516,Bramante,"1,0","0,0",2017-09-26
990001527130205516,Bramante,"1,0","7,0",2021-06-07
990001681050205516,Transducteurs électromécaniques,"1,0","12,0",2019-01-29
990001970570205516,Vers une architecture,"1,0","54,0",2019-12-16
990002097160205516,Modern architecture a critical history,"1,0","15,0",2019-10-01
990002145340205516,Algebra,"1,0","0,0",2016-10-10
990002145340205516,Algebra,"1,0","21,0",2019-03-04
990002145340205516,Algebra,"1,0","26,0",2020-08-03
990002297720205516,Linear algebra,"1,0","29,0",2021-09-21
990002297720205516,Linear algebra,"1,0","23,0",2021-12-07
990002372220205516,The conformation of biological macromolecules,"1,0","7,0",2003-07-18
990002372220205516,The conformation of biological macromolecules,"1,0","11,0",2018-09-10
990002372220205516,The conformation of biological macromolecules,"1,0","14,0",2021-10-18
990002372230205516,Techniques for the study of biological structure and function,"1,0","8,0",2003-07-18
990002372230205516,Techniques for the study of biological structure and function,"1,0","18,0",2018-11-06
990002372230205516,Techniques for the study of biological structure and function,"1,0","1,0",2020-12-08
990002372240205516,The behavior of biological macromolecules,"1,0","20,0",2005-11-28
990002372240205516,The behavior of biological macromolecules,"1,0","11,0",2018-09-10
990002372240205516,The behavior of biological macromolecules,"1,0","19,0",2020-12-08
990002433880205516,Numerical heat transfer and fluid flow,"1,0","0,0",
990002433880205516,Numerical heat transfer and fluid flow,"1,0","3,0",2020-08-13
990002433880205516,Numerical heat transfer and fluid flow,"1,0","6,0",2022-02-23
990002501100205516,Viscoelastic properties of polymers,"1,0","0,0",
990002501100205516,Viscoelastic properties of polymers,"1,0","16,0",2011-06-24
990002501100205516,Viscoelastic properties of polymers,"1,0","6,0",2012-04-02
990002501100205516,Viscoelastic properties of polymers,"1,0","21,0",2013-12-04
990002501100205516,Viscoelastic properties of polymers,"1,0","6,0",2015-05-29
990002501100205516,Viscoelastic properties of polymers,"1,0","21,0",2017-01-10
990002501100205516,Viscoelastic properties of polymers,"1,0","43,0",2019-05-08
990002842730205516,"L'architecture à la française XVIe, XVIIe, XVIIIe siècles","1,0","24,0",2014-07-07
990002842730205516,"L'architecture à la française XVIe, XVIIe, XVIIIe siècles","1,0","8,0",2015-07-30
990002889100205516,Machines électriques,"1,0","31,0",2009-01-20
990002889100205516,Machines électriques,"1,0","20,0",2015-07-13
990002889100205516,Machines électriques,"1,0","19,0",2016-01-21
990002889100205516,Machines électriques,"1,0","23,0",2017-06-02
990002889100205516,Machines électriques,"1,0","75,0",2018-11-21
990002889100205516,Machines électriques,"1,0","67,0",2019-06-07
990002889100205516,Machines électriques,"1,0","21,0",2020-01-22
990003037560205516,Topologie cours et problèmes,"0,0","9,0",2017-09-22
