Electronic Collection Public Name,MMS Id,Title,Portfolio Id,Electronic Collection Id
IEEE Electronic Library (IEL),99116698588205516,IEEE guide for transformer loss measurement,5328982920005516,6128473920005516
IEEE Electronic Library (IEL),99116701948805516,IEEE Std 1671.1-2009: IEEE Trial-Use Standard for Automatic Test Markup Language (ATML) for Exchanging Automatic Test Equipment and Test Information via XML: Exchanging Test Descriptions,5329679310005516,6128473920005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116748315205516,Multicultural and diversity issues in student affairs practice : a professional competency-based approach /,5337607890005516,6128471720005516
American Mathematical Society eBooks,99116706470405516,Thirteen papers on algebra and analysis /,5330694700005516,6128473930005516
Springer Computer Science eBooks 2020 English/International,99116705449105516,"Inductive Logic Programming 29th International Conference, ILP 2019, Plovdiv, Bulgaria, September 3–5, 2019, Proceedings /",5330449220005516,6128473820005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116748959705516,"The rise of responsible conduct of research education : if it is difficult to teach old dogs new tricks, should we teach the young? /",5337823440005516,6128471720005516
IEEE Electronic Library (IEL),99116704669605516,ANSI N42.17A-2003 (Revision of ANSI N42.17A-1989),5330314250005516,6128473920005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116740671605516,Infectious Diseases of Sao Tome and Principe,5336696580005516,6128471720005516
SpringerNature Complete Protocols,99116767631605516,"DNA Damage Detection In Situ, Ex Vivo, and In Vivo Methods and Protocols /",5340851000005516,6128470480005516
"Ebook Central Perpetual, DDA and Subscription Titles",99116749054805516,Fat Girls in Black Bodies : Creating Communities of Our Own.,5337850350005516,6128471720005516
Royal Society of Chemistry eBook Collection Complete,99116702381805516,Electrospinning : from basic research to commercialization /,5329808660005516,6128471290005516
Springer Business and Economics eBooks 2013 English/International,99116719851705516,A Critical Impulse to e-Governance in the Asia Pacific,5333596060005516,6128472370005516
Springer Economics and Finance eBooks 2020 English/International,99116714135705516,Industrial Policy and Sustainable Growth,5332340270005516,6128473740005516
