Title,ISBN,Publication Date,Num of Physical Items (Deleted)
"""... ein bemerkenswertes Kapitel des jüdischen Überlebens ..."" das Lager für Displaced Persons in Upjever (Friesland) 1950/51",3730815229; 9783730815229,[2019],"1,0"
"""... einziges Land, in dem Judenfrage und Zigeunerfrage gelöst"" die Verfolgung der Roma im faschistisch besetzten Jugoslawien 1941-1945",3980311813; 9783980311816,[1992?],"1,0"
"""... mehr Bäume, mehr Wiesen und mehr Menschen, die wir kennen ..."" der Schulweg als Lernfeld : Schulwegerlebnisse und -erfahrungen von Zürcher Primarschülern",3952023809; 9783952023808,1992,"1,0"
"""...wortlos der Sprache mächtig"" Schweigen und Sprechen in der Literatur und sprachlicher Kommunikation",3476452085; 9783476452085,[1999],"1,0"
"""A dos luces, a dos visos"" Calderón y el género sacramental en el Siglo de Oro",3967280012; 9783967280012,2020,"1,0"
"""A honra alheia por um fio"" os estatutos de limpeza de sangue nos espaços de expressão ibérica (sécs. XVI-XVIII",9723113937; 9789723113938,2011,"1,0"
"""Ai pochi felici"" Leonardo Sciascia e le arti visive : un caleidoscopio critico",9788832240221; 883224022X,[2020],"1,0"
"""Al tempo del Belli..."" il dialetto dei Sonetti nel carteggio Chiappini-Morandi",8883197836; 9788883197833,2002,"1,0"
"""Als Kafka mir entgegen kam- "" Erinnerungen an Franz Kafka",3803125286; 9783803125286,2005,"1,0"
"""Antibirokratska revolucija"" (1987-1989)",9788651903048; 8651903049,2009,"1,0"
"""Apprendre une langue, c'est apprendre une culture."" Leurre ou réalité? l'apprentissage de la culture dans l'enseignement du Français langue etrangère en milieu hétéroglotte",9783944682068; 3944682068,2015,"1,0"
"""At the shores of the sky"" Asian studies for Hoffstädt",9004432981; 9789004432987; 9789004438200; 9004438203,[2020],"1,0"
"""Auf der Suche nach dem ganzheitlichen Augenblick"" der Aspekt Ganzheit in den Wissenschaften",3728117854; 9783728117854,[1992],"1,0"
"""Auf's Ganze aus sein"" Franz Fühmann in seiner Zeit",9783958616486; 3958616488,[2016],"1,0"
"""Ausreißen"" in der aktuellen Kinder-und Jugendliteratur Analysen und didaktische Perspektiven",3834021520; 9783834021526,[2021],"1,0"
"""Belyj carʹ"" obraz monarcha i predstavlenija o poddanstve u narodov Rossii XV - XVIII vv.",5020185175; 9785020185173,2007,"1,0"
"""Beschreibung der Tschucktschi, von ihren Gebräuchen und Lebensart"" sowie weitere Berichte und Materialien",383531436X; 9783835314368,2014,"1,0"
"""Bespredmetnaja junostʹ"" A. Egunova tekst i kontekst",9785903955022; 5903955029,2008,"1,0"
"""Bhagavadgītā"" - philosophische Interpretationen im 20. Jahrhundert eine interkulturelle Verflechtungsgeschichte",3495491864; 9783495491867,[2021],"1,0"
"""Blessed Heritage"" the classical tradition and Russian literature = ""Blažennoe nasledstvo"" : klassičeskaja tradicija i russkaja literatura",3447110252; 9783447110259,2018,"1,0"
"""Bogoduchnovennye knigi"" staroobrjadcev (semejskich) Zabajkalʹja institut mongolovedenija, buddologii i tibetologii SO RAN",5792501467; 9785792501461,2002,"1,0"
"""Bolʹnoj čelovek"" v ėpochu vojn i revoljucij obraz Turcii v russkoj žurnalʹnoj satire 1908-1918",9785805503048; 5805503042,2016,"1,0"
"""Borussia ist stärker"" zur Alltagsbedeutung des Fussballvereins, gestern und heute",3820413618; 9783820413618,1988,"1,0"
"""Carskij putʹ"" Michaila Katkova ideologija bjurokratičeskogo nacionalizma v političeskoj publicistike 1860-1890-ch godov",9785936151767; 593615176X,2016,"1,0"
"""Corniche Kennedy"", ""Naissance d'un pont"", ""Réparer les vivants"" de Maylis de Kerangal",2908481979; 9782908481976,[2020],"1,0"
"""Da fonte máis fonda"" historia do vocabulario e outros escrito sobre o idioma galego",8417802347; 9788417802349,2021,"1,0"
"""Dar vekov sberečʹ?"" russkij jazyk na stranicach parlamentskoj gazety : sbornik statej",9785932034514; 5932034513,2010,"1,0"
"""Das Zahnweh, subjektiv genommen ... "" über Zähne, Zahnschmerzen, Zahnärzte und ihre Bedeutung für unseren Seelenfrieden",3530860557; 9783530860559,1992,"1,0"
"""Das pädagogische Jahrhundert"" Volksaufklärung und Erziehung zur Armut im 18. Jahrhundert in Deutschland",3407541317; 9783407541314,1981,"1,0"
"""Der herrlich biedere Mann"" vom Siegeszug des bürgerlichen Herrenanzuges im 19. Jahrhundert",390531293X; 9783905312935,[1998],"1,0"
"""Der schöne Augenblick"" Schweizer Photographen des Alltags",3907495055; 9783907495056,[1989],"1,0"
"""Der, die, das"" als Pronomen",3891291213; 9783891291214,1990,"1,0"
"""Derevnju opustošajut"": stalinskaja kollektivizacija i ""raskulačivanie"" na Urale v 1930-ch godach",9785824317701; 5824317704,2013,"1,0"
"""Die Ferien sind vorbei"" Überlegungen zur Kulturanalyse touristischer Reisefolgen",9783826072253; 3826072251,[2021],"1,0"
"""Die Wahrheit über die Ursachen des Europäischen Krieges"" Japan, der Beginn des Ersten Weltkriegs und die völkerrechtliche Friedenswahrung",3891294077; 9783891294079,2005,"1,0"
"""Die wilden Früchte der Frau"" über häusliche Produktion und kapitalistische Wirtschaft",3518280473; 9783518280478,1983,"2,0"
"""Dienen, nicht verdienen, soll das oberste Gebot des Politikers sein"" wie der Staat seine Bundesräte, Nationalräte und Chefbeamten besoldet",3725306052; 9783725306053,[1998],"1,0"
"""Diesem viehischen Trieb ergeben"" - J. A. Schlettweins Kritik an Goethes Werther",9783830046462; 3830046464,2009,"1,0"
"""E'n guisa d'eco i detti e le parole"" studi in onore di Giorgio Bárberi Squarotti",8876948171; 9788876948176,2006,"1,0"
"""Ein Magnet, der die Kameradschaft verstärkt ..."" die Sektion Wallis der ehemaligen Schweizergardisten 1928-2020",9783033081451; 3033081452,[2020],"2,0"
"""Ein Wort, ein Satz..."" literarische Werkstattgedanken",9783835337701; 383533770X,[2020],"1,0"
"""Einmal lebt' ich wie Götter""!!!.. Nachforschungen zu Arno Schmidts ""Gelehrtenrepublik""",3924147159; 9783924147150,1987,"1,0"
"""Erasmus"" ou la construction d'un espace culturel européen",9782940174430; 2940174431,2007,"1,0"
"""Es gibt eine Revolution in der Wissenschaft"" Naturwissenschaft und Dichtung bei Georg Büchner",3861101785; 9783861101789,1998.,"1,0"
"""Es träumte mir vergangene Nacht,..."" Sehübungen im Bereiche des Träumens und Beispiele für dei praktische Anwendung eines neuen Traumverständnisses",3456801394; 9783456801391,[1975],"1,0"
"""Für alle Fälle..."" Arbeit mit Fallgeschichten in der Pflegeethik",3899934180; 9783899934182,2005,"1,0"
"""Harta sonoră"" a graiurilor şi dialectelor limbii române",9789732724132; 9732724137,2014,"1,0"
"""Herzlich willkommen!"" Rituale der Gastlichkeit",3901681019; 9783901681011; 39901681019,1997,"1,0"
"""Historia sacra"" i dzieje narodowe Refkleksja historyczna lat 1795-1830 nad rolą religii i Kościoła w przeszłości Polski",8389100444; 9788389100443,2003,"1,0"
"""Holocaust""-Fiktion Kunst jenseits der Authentizität",9783770555055; 3770555058,2015,"1,0"
"""I più vaghi e i più soavi fiori"" studi sulle antologie di lirica del Cinquecento",8876945628; 9788876945625,2001,"1,0"
"""Ich war mal so herzlinks"" - Politisierung in der Adoleszenz eine biographische Studie",9783847424154; 3847424157; 9783847416715; 3847416715,2021,"1,0"
"""Ich wollt's auf tausend Karten schreiben"" Ansichtskarten aus dem Kanton Zürich 1890-1930",9783034016124; 3034016123,[2021],"1,0"
"""Ihr Anliegen ist uns wichtig!"" so lügt man mit Sprache",9783492307840; 3492307841,März 2016,"1,0"
"""Il mio nome è sofferenza"" le forme e la rappresentazione del dolore",8886135149; 9788886135146,1993,"1,0"
"""Im Takt der Maschinen"" das Arbeitsrecht des Kantons Glarus im 19. Jahrhundert unter besonderer Berücksichtigung der Fabrikgesetzgebung",9783037512852; 3037512857,2010,"1,0"
"""Ja budu žitʹ do starosti, do slavy?""",9785389020238; 5389020235,2012,"1,0"
"""Ja slyshu vas"" počta Ilʹi Erenburga. 1916-1967",5778403313; 9785778403314,2006,"1,0"
"""Je voulais simplement faire revenir mes règles."" avortement: femmes devant la justice fribourgeoise (1930-1970)",9782970137801; 2970137801,[2020],"1,0"
"""Je"" devient écrivain essai sur Proust et Joyce",2878170911; 9782878170917,1996,"1,0"
"""Junosto čestnoe zercalo"" i poučitelʹnaja literatura Drevnej Rusi",9785431900587; 5431900587,2016,"1,0"
"""Kultura"" i emigracja rosyjska",9788361005490; 8361005498; 8380901533; 9788380901537,2016,"1,0"
"""L'una et l'altra chiave"" figure e momenti del petrarchismo femminile europeo : atti del convegno internazionale di Zurigo, 4-5 giugno 2004",8884025060; 9788884025067,2005,"1,0"
