MMS Id,Network Id,Holding Id,Barcode,Permanent Call Number,Material Type,Receiving Date (Calendar),Last Loan Date (not In House) (calendar),Num of Loans (Not In House),Publication Date,Title
991000364019705514,991025178609705501,2284167700005514,1072117166,128 WEI,Book,2016-11-15,,"7,0",2017,Simplicité l'art d'aller à l'essentiel
991000112519705514,991144226709705501,2279925280005514,1070995775,372.4 CAU,Book,2020-05-21,,"1,0",2000,"Qui a lu petit, lira grand"
991001882429705514,991016703539705501,2286024890005514,1071707044,658.403 8 LES 2010,Book,2018-03-17,,"12,0",2010,Gestion de l'information [qualité de l'information et performances de l'entreprise]
991001859049705514,991018473319705501,2281389070005514,1071818724,006.3 JAN,Book,2018-12-14,,"0,0",2011,Ontology-based meta-mining of knowledge discovery workflows
991000260179705514,991020560399705501,2284944640005514,1072116935,658.872 ISA 2017,Book,2017-01-15,2022-03-11,"16,0",2017,E-commerce vers le commerce connecté
991001639619705514,991078317669705501,2283031080005514,1072283309,005.133 JAV GRA,Book,2017-09-26,,"0,0",2019,Java aide-mémoire
991000670039705514,991036195459705501,2282294700005514,1071932826,025.04 DEVa,Book,2016-02-18,,"1,0",2014,Going beyond Google again strategies for using and teaching the invisible Web
991000313549705514,991147607389705501,2279463900005514,1070884574,658.401 2 TAB,Book,2019-03-21,2022-01-17,"19,0",1999,Tableaux de bord pour managers
991000919839705514,991104751159705501,2280241790005514,1072215589,658.403 2 GUI 2019,Book,2016-06-01,2021-01-12,"1,0",[2019],Guide de la gestion des processus BPM CBOK® V3
991000770139705514,991052027749705501,2280133500005514,1071889252,021.24 GIL,Book,2017-12-25,2020-12-18,"6,0",2012,"Lifelong learning in public libraries principles, programs, and people"
991000675339705514,991022347039705501,2280838730005514,1071385588,658.401 3 SAU 2006,Book,2018-03-06,,"22,0",2006,Tableaux de bord pour décideurs qualité
991000909119705514,991090059309705501,2285314880005514,1072116571,428 CAMc 4,Book,2017-09-03,2021-12-07,"6,0",2013-,Cambridge BEC higher 4 with answers : examination papers from University of Cambridge ESOL examinations : English for speakers of other languages
991000519819705514,991024818329705501,2281862760005514,1072215354,006.686 9 GOU,Book,2018-04-19,,"0,0",[2018],"AutoCAD 2019 conception, dessin 2D et 3D, présentation : tous les outils et fonctionnalités avancées autour de projets professionnels"
991000873619705514,991010486189705501,2284027560005514,1071077909,371.334 ALL,Book,2018-02-26,,"14,0",2002,E-learning and teaching in library and information services
991001373389705514,991054361699705501,2280607180005514,1071982123,332.632 042 BEC 2014,Book,2016-06-27,2021-03-23,"6,0",2014,L'analyse technique théories et méthodes
991001405179705514,991139832949705501,2284234990005514,1071982143,023.8 ALL,Book,2015-12-13,2021-10-22,"13,0",2013,The no-nonsense guide to training in libraries
991001600569705514,991145419939705501,2281959530005514,1072103033,658.3 MANc,Book,2017-07-18,,"0,0",2015,Le management épiphyte comment faire grandir ses collaborateurs
991000050139705514,991075748439705501,2281231950005514,1071832701,005.82 CRYa,Book,2015-07-13,,"0,0",2012,Cryptographie de l'histoire aux applications
991001709549705514,991110590559705501,2281771310005514,1072124896,368 WAG,Book,2015-08-26,2022-04-14,"11,0",2015-16,Les assurances sociales au quotidien
991001339339705514,991060954019705501,2284928190005514,1071888592,025.002 85 MOBa,Book,2016-11-01,,"13,0",2013,Mobile library services best practices
991001793059705514,991034825289705501,2284011580005514,1072117092,005.133 C ALB,Book,2019-10-25,,"7,0",2017,C# 7.0 pocket reference instant help for C# 7.0 programmers
991000392399705514,991056493979705501,2279653050005514,1072103392,001.42 FOR 2016,Book,2016-07-11,2021-06-24,"22,0",[2016],Fondements et étapes du processus de recherche méthodes quantitatives et qualitatives
991000277199705514,991052596919705501,2285499930005514,1071731706,658.401 3 PET,Book,2020-09-16,,"5,0",[2008],Contrôle de gestion méthodes et techniques principales
